numero_linha,nome_arquivo,tipo_documento,caminho_campo,nome_prisma,tabela_prisma,confianca_mapeamento,observacao_mapeamento,chave_json,valor_extraido,preenchido
129,BL.pdf,BL,notify_party.email,,,,,email,,nao
130,BL.pdf,BL,shipment.pre_carriage,,,,,pre_carriage,,nao
131,BL.pdf,BL,shipment.vessel_name,,,,,vessel_name,Monte Pascoal,sim
132,BL.pdf,BL,shipment.voyage_number,,,,,voyage_number,442S,sim
133,BL.pdf,BL,shipment.port_of_origin,porto_origem_processo,LogisticaInternacionalProcesso,alta,,port_of_origin,"PHILADELPHIA, PA",sim
134,BL.pdf,BL,shipment.port_of_destination,porto_destino_processo,LogisticaInternacionalProcesso,alta,,port_of_destination,ITAPOA,sim
135,BL.pdf,BL,shipment.place_of_origin,,,,,place_of_origin,"PETERSBURG, VA",sim
136,BL.pdf,BL,shipment.place_of_destination,,,,,place_of_destination,,nao
137,BL.pdf,BL,shipment.origin_country,,,,,origin_country,UNITED STATES,sim
138,BL.pdf,BL,shipment.destination_state,,,,,destination_state,SC,sim
139,BL.pdf,BL,shipment.marksAndNumbers,,,,,marksAndNumbers,HLBU2358024/Seal:UL-4200593,sim
140,BL.pdf,BL,shipment.temperature,,,,,temperature,,nao
141,BL.pdf,BL,containers[].container_type,container_tipo_processo_container,ContainerProcesso,alta,,container_type,20 STANDARD DRY,sim
142,BL.pdf,BL,containers[].container_number,container_numero_processo_container,ContainerProcesso,alta,,container_number,HLBU2358024,sim
143,BL.pdf,BL,containers[].container_seal,container_lacre_processo_container,ContainerProcesso,alta,,container_seal,UL-4200593,sim
144,BL.pdf,BL,containers[].container_gross_weight,container_peso_bruto_processo_container,ContainerProcesso,alta,,container_gross_weight,19587.809,sim
145,BL.pdf,BL,containers[].container_net_weight,container_peso_liquido_processo_container,ContainerProcesso,alta,,container_net_weight,,nao
146,BL.pdf,BL,containers[].container_volume,container_metragem_cubica_processo_container,ContainerProcesso,alta,,container_volume,15.200,sim
147,BL.pdf,BL,containers[].container_tare,,,,,container_tare,,nao
148,BL.pdf,BL,containers[].dangerous_goods_indicator,,,,,dangerous_goods_indicator,,nao
149,BL.pdf,BL,containers[].dangerous_goods_class,,,,,dangerous_goods_class,,nao
150,BL.pdf,BL,containers[].packaging[].type,,,,,type,PALLETS,sim
151,BL.pdf,BL,containers[].packaging[].quantity,,,,,quantity,29,sim
152,BL.pdf,BL,containerNumbers,container_numero_processo_container,ContainerProcesso,alta,,containerNumbers,HLBU2358024,sim
153,BL.pdf,BL,goods.ncm_code,ncm_item,PedidoItem,alta,,ncm_code,8607,sim
154,BL.pdf,BL,goods.ncm_list[0],,,,,ncm_list[0],8607,sim
155,BL.pdf,BL,goods.hs_code,ncm_item,PedidoItem,alta,,hs_code,,nao
156,BL.pdf,BL,goods.bl_description,,,,,bl_description,"20 STANDARD DRY S.L.A.C.
29 PALLETS OF BEARINGS NON HAZ

NCM: 8607

wooden dunnage heat treated and certified

ITN: X20241017210508",sim
157,BL.pdf,BL,goods.total_packages,,,,,total_packages,29,sim
158,BL.pdf,BL,goods.package_unit,,,,,package_unit,PALLETS,sim
159,BL.pdf,BL,goods.shipment_gross_weight,,,,,shipment_gross_weight,19587.809,sim
160,BL.pdf,BL,goods.shipment_net_weight,,,,,shipment_net_weight,,nao
161,BL.pdf,BL,goods.total_shipment_volume,,,,,total_shipment_volume,15.200,sim
162,BL.pdf,BL,goods.volume_unit,,,,,volume_unit,CBM,sim
163,BL.pdf,BL,goods.packaging_summary[].type,,,,,type,PALLETS,sim
164,BL.pdf,BL,goods.packaging_summary[].total_quantity,,,,,total_quantity,29,sim
165,BL.pdf,BL,goods.items[].quantity,,,,,quantity,29 PALLETS,sim
166,BL.pdf,BL,goods.items[].description,descricao_item,PedidoItem,alta,,description,BEARINGS NON HAZ,sim
167,BL.pdf,BL,goods.items[].ncm,ncm_item,PedidoItem,alta,,ncm,8607,sim
168,BL.pdf,BL,goods.items[].net_weight,,,,,net_weight,,nao
169,BL.pdf,BL,goods.items[].gross_weight,,,,,gross_weight,19587.809,sim
170,BL.pdf,BL,goods.items[].volume,,,,,volume,15.20,sim
171,BL.pdf,BL,goods.items[].shipper,,,,,shipper,,nao
172,BL.pdf,BL,goods.items[].invoice,,,,,invoice,,nao
173,BL.pdf,BL,freight.currency,,,,,currency,USD,sim
174,BL.pdf,BL,freight.total_value,,,,,total_value,4941.19,sim
175,BL.pdf,BL,freight.basic_value,,,,,basic_value,4504.00,sim
176,BL.pdf,BL,freight.payment_terms,,,,,payment_terms,COLLECT,sim
177,BL.pdf,BL,freight.clauses[].clause,,,,,clause,FREIGHT COLLECT,sim
178,BL.pdf,BL,freight.additional_charges[].Nome da Taxa,,,,,Nome da Taxa,OVERWEIGHT,sim
179,BL.pdf,BL,freight.additional_charges[].Valor,,,,,Valor,300.00,sim
180,BL.pdf,BL,freight.additional_charges[].Moeda,,,,,Moeda,USD,sim
181,BL.pdf,BL,woodPackaging.hasWood,,,,,hasWood,Sim,sim
182,BL.pdf,BL,woodPackaging.isTreatedCertified,,,,,isTreatedCertified,Sim,sim
183,BL.pdf,BL,woodPackaging.woodDescription,,,,,woodDescription,wooden dunnage heat treated and certified,sim
184,BL.pdf,BL,observations,,,,,observations,ITN: X20241017210508,sim
185,BL.pdf,BL,isSigned,,,,,isSigned,true,sim
186,BL.pdf,BL,additionalFields.Agente de Entrega,,,,,Agente de Entrega,BLUE LINE AGENCIAMENTO DE CARGAS LTDA,sim
187,BL.pdf,BL,additionalFields.CNPJ Agente de Entrega,,,,,CNPJ Agente de Entrega,05.376.052/0001-80,sim
188,BL.pdf,BL,additionalFields.Email Agente de Entrega,,,,,Email Agente de Entrega,IMPORT@BLUELINELOG.COM,sim
189,INVOICE77.pdf,PACKING_LIST,document.number,numero_bl_processo,DocumentoProcesso,sugestao,Alternativas: numero_awb_processo (DocumentoProcesso),number,ISA-002036,sim
190,INVOICE77.pdf,PACKING_LIST,document.type,,,,,type,PACKING LIST,sim
191,INVOICE77.pdf,PACKING_LIST,document.date,,,,,date,2024-06-19,sim
192,INVOICE77.pdf,PACKING_LIST,document.incoterm,incoterm_processo,LogisticaInternacionalProcesso,alta,,incoterm,EXW,sim
193,INVOICE77.pdf,PACKING_LIST,document.incotermLocation,,,,,incotermLocation,HK,sim
194,INVOICE77.pdf,PACKING_LIST,document.originCountry,,,,,originCountry,China,sim
195,INVOICE77.pdf,PACKING_LIST,document.shippedOnBoardDate,,,,,shippedOnBoardDate,,nao
196,INVOICE77.pdf,PACKING_LIST,exporter.name,nome_exportador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,"LUEN TAI P.C.B. FACTORY CO., LTD.",sim
197,INVOICE77.pdf,PACKING_LIST,exporter.address,endereco_fornecedor,Fornecedor,alta,,address,"Uint 5, 21/F., Midas Plaza, No.1 Tai Yau Street, San Po Kong, Kowloon",sim
198,INVOICE77.pdf,PACKING_LIST,exporter.country,pais_fornecedor,Fornecedor,alta,,country,Hong Kong,sim
199,INVOICE77.pdf,PACKING_LIST,exporter.state,estado_provincia_fornecedor,Fornecedor,alta,,state,,nao
200,INVOICE77.pdf,PACKING_LIST,exporter.city,cidade_fornecedor,Fornecedor,alta,,city,Kowloon,sim
201,INVOICE77.pdf,PACKING_LIST,exporter.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,,nao
202,INVOICE77.pdf,PACKING_LIST,exporter.taxId,tin_fornecedor,Fornecedor,alta,,taxId,,nao
203,INVOICE77.pdf,PACKING_LIST,exporter.phone,telefone_fornecedor,Fornecedor,alta,,phone,852 - 2321 8391,sim
204,INVOICE77.pdf,PACKING_LIST,exporter.email,email_fornecedor,Fornecedor,alta,,email,,nao
205,INVOICE77.pdf,PACKING_LIST,importer.name,nome_importador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,Intelbras S/A -Indústria de Telecomunicação Eletrônica Brasileira,sim
206,INVOICE77.pdf,PACKING_LIST,importer.address,endereco_fornecedor,Fornecedor,alta,,address,"Av. Tefé, 3105 - Bairro Japiim",sim
207,INVOICE77.pdf,PACKING_LIST,importer.country,pais_fornecedor,Fornecedor,alta,,country,Brazil,sim
208,INVOICE77.pdf,PACKING_LIST,importer.state,estado_provincia_fornecedor,Fornecedor,alta,,state,,nao
209,INVOICE77.pdf,PACKING_LIST,importer.city,cidade_fornecedor,Fornecedor,alta,,city,,nao
210,INVOICE77.pdf,PACKING_LIST,importer.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,,nao
211,INVOICE77.pdf,PACKING_LIST,importer.cnpj,cnpj_fornecedor,Fornecedor,alta,,cnpj,82.901.000/0015-22,sim
212,INVOICE77.pdf,PACKING_LIST,importer.phone,telefone_fornecedor,Fornecedor,alta,,phone,,nao
213,INVOICE77.pdf,PACKING_LIST,importer.email,email_fornecedor,Fornecedor,alta,,email,,nao
214,INVOICE77.pdf,PACKING_LIST,shipmentDetails.transportMode,modal_frete_internacional_processo,LogisticaInternacionalProcesso,alta,,transportMode,By sea,sim
215,INVOICE77.pdf,PACKING_LIST,shipmentDetails.vesselName,,,,,vesselName,,nao
216,INVOICE77.pdf,PACKING_LIST,shipmentDetails.origin.port,,,,,port,,nao
217,INVOICE77.pdf,PACKING_LIST,shipmentDetails.origin.airport,,,,,airport,,nao
218,INVOICE77.pdf,PACKING_LIST,shipmentDetails.origin.location,,,,,location,,nao
219,INVOICE77.pdf,PACKING_LIST,shipmentDetails.origin.place,,,,,place,,nao
220,INVOICE77.pdf,PACKING_LIST,shipmentDetails.destination.port,,,,,port,,nao
221,INVOICE77.pdf,PACKING_LIST,shipmentDetails.destination.airport,,,,,airport,,nao
222,INVOICE77.pdf,PACKING_LIST,shipmentDetails.destination.location,,,,,location,,nao
223,INVOICE77.pdf,PACKING_LIST,shipmentDetails.destination.place,,,,,place,,nao
224,INVOICE77.pdf,PACKING_LIST,containerNumbers,container_numero_processo_container,ContainerProcesso,alta,,containerNumbers,,nao
225,INVOICE77.pdf,PACKING_LIST,packageSummary.totalGrossWeight,,,,,totalGrossWeight,177.470,sim
226,INVOICE77.pdf,PACKING_LIST,packageSummary.totalNetWeight,,,,,totalNetWeight,153.670,sim
227,INVOICE77.pdf,PACKING_LIST,packageSummary.commercialUnit,,,,,commercialUnit,kgs,sim
228,INVOICE77.pdf,PACKING_LIST,packageSummary.totalTareWeight,,,,,totalTareWeight,23.800,sim
229,INVOICE77.pdf,PACKING_LIST,packageSummary.totalCubicMeasurement,,,,,totalCubicMeasurement,0.432,sim
230,INVOICE77.pdf,PACKING_LIST,packageSummary.totalPackages,,,,,totalPackages,550,sim
231,INVOICE77.pdf,PACKING_LIST,items[].partNumber,part_number_item,PedidoItem,alta,,partNumber,1080936,sim
232,INVOICE77.pdf,PACKING_LIST,items[].productDescription,descricao_item,PedidoItem,alta,,productDescription,,nao
233,INVOICE77.pdf,PACKING_LIST,items[].package.unitQuantity,,,,,unitQuantity,450,sim
234,INVOICE77.pdf,PACKING_LIST,items[].package.type,,,,,type,Carton,sim
235,INVOICE77.pdf,PACKING_LIST,items[].package.unitGrossWeight,,,,,unitGrossWeight,,nao
236,INVOICE77.pdf,PACKING_LIST,items[].package.unitNetWeight,,,,,unitNetWeight,,nao
237,INVOICE77.pdf,PACKING_LIST,items[].package.totalCubicMeasurement,,,,,totalCubicMeasurement,,nao
238,INVOICE77.pdf,PACKING_LIST,items[].package.totalTareWeight,,,,,totalTareWeight,,nao
239,INVOICE77.pdf,PACKING_LIST,items[].totalProductQuantity,,,,,totalProductQuantity,9900,sim
240,INVOICE77.pdf,PACKING_LIST,items[].ncm,,,,,ncm,,nao
241,INVOICE77.pdf,PACKING_LIST,items[].hsCode,,,,,hsCode,,nao
242,INVOICE77.pdf,PACKING_LIST,items[].additionalInformation,,,,,additionalInformation,,nao
243,INVOICE77.pdf,PACKING_LIST,observations,,,,,observations,ATTN : Samantha Scheidt | Shipment does not contain solid wooden packing material | Freight cost AS PER AWB/HBL,sim
244,INVOICE77.pdf,PACKING_LIST,isSigned,,,,,isSigned,false,sim
245,INVOICE77.pdf,PACKING_LIST,additionalFields.País de Aquisição,,,,,País de Aquisição,Hong Kong,sim
246,INVOICE77.pdf,PACKING_LIST,additionalFields.País de Procedência,,,,,País de Procedência,Hong Kong,sim
247,INVOICE77.pdf,PACKING_LIST,additionalFields.Total de Paletes,,,,,Total de Paletes,1,sim
248,INVOICE77.pdf,PACKING_LIST,additionalFields.Dimensões,,,,,Dimensões,120*80*45cm(1),sim
249,INVOICE77.pdf,PACKING_LIST,additionalFields.Nota de Entrega,,,,,Nota de Entrega,PH10021643,sim
250,INVOICE77.pdf,INVOICE,document.documentNumber,numero_invoice_item,PedidoItem,alta,,documentNumber,ISA-002036,sim
251,INVOICE77.pdf,INVOICE,document.documentType,,,,,documentType,COMMERCIAL INVOICE,sim
252,INVOICE77.pdf,INVOICE,document.documentDate,,,,,documentDate,2024-06-19,sim
253,INVOICE77.pdf,INVOICE,document.incoterm,incoterm_item,PedidoItem,sugestao,Alternativas: incoterm_processo (LogisticaInternacionalProcesso),incoterm,EXW,sim
254,INVOICE77.pdf,INVOICE,document.incotermLocation,,,,,incotermLocation,HK,sim
255,INVOICE77.pdf,INVOICE,document.originCountry,,,,,originCountry,China,sim
256,INVOICE77.pdf,INVOICE,document.countryOfAcquisition,,,,,countryOfAcquisition,Hong Kong,sim
257,INVOICE77.pdf,INVOICE,document.countryOfProvenance,,,,,countryOfProvenance,Hong Kong,sim
258,INVOICE77.pdf,INVOICE,document.shippedOnBoardDate,,,,,shippedOnBoardDate,,nao
259,INVOICE77.pdf,INVOICE,exporter.name,nome_exportador_item,PedidoItem,sugestao,Alternativas: nome_fornecedor (Fornecedor),name,"LUEN TAI P.C.B. FACTORY CO., LTD.",sim
260,INVOICE77.pdf,INVOICE,exporter.address,endereco_fornecedor,Fornecedor,alta,,address,"Uint 5, 21/F., Midas Plaza, No.1 Tai Yau Street, San Po Kong, Kowloon",sim
261,INVOICE77.pdf,INVOICE,exporter.country,pais_fornecedor,Fornecedor,alta,,country,Hong Kong,sim
262,INVOICE77.pdf,INVOICE,exporter.state,estado_provincia_fornecedor,Fornecedor,alta,,state,,nao
263,INVOICE77.pdf,INVOICE,exporter.city,cidade_fornecedor,Fornecedor,alta,,city,Kowloon,sim
264,INVOICE77.pdf,INVOICE,exporter.zipCode,cep_zipcode_fornecedor,Fornecedor,alta,,zipCode,,nao
