Metodo,Rota Completa (Atual),Rota Completa - DDD,Prefixo Mount,Path no arquivo,Local,Produto / Servico,Arquivo da rota,Variavel Router,Middleware detectado,Request Schema (Zod),Response Schema,Model Prisma principal,Entidade retornada,Consumidor,Descricao,Conforme DDD?,Patente minima,Status DDD,Observacoes
POST,/api/admin/financeiro-admin/invoices/:id/void,,/api/admin,/financeiro-admin/invoices/:id/void,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/financeiro-admin/invoices/:id/send,,/api/admin,/financeiro-admin/invoices/:id/send,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/deploy,,/api/admin,/deploy,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,usuario,,,,,,,
POST,/api/admin/deploy,,/api/admin,/deploy,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,usuario,,,,,,,
DELETE,/api/admin/deploy/:id,,/api/admin,/deploy/:id,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/testes-gerais/plans,,/api/admin,/testes-gerais/plans,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/testes-gerais/logs,,/api/admin,/testes-gerais/logs,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/run,,/api/admin,/testes-gerais/run,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/testes-gerais/run/status,,/api/admin,/testes-gerais/run/status,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/logs,,/api/admin,/testes-gerais/logs,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/visao-geral,,/api/admin,/visao-geral,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,usuario,,,,,,,
POST,/api/admin/usuarios-globais/:userId/promote,,/api/admin,/usuarios-globais/:userId/promote,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,usuario,,,,,,,
POST,/api/admin/usuarios-globais/invite,,/api/admin,/usuarios-globais/invite,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,usuario,,,,,,,
PUT,/api/admin/visao-geral,,/api/admin,/visao-geral,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,usuario,,,,,,,
POST,/api/admin/testes-gerais/plans/generate,,/api/admin,/testes-gerais/plans/generate,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/plans/:id/expand,,/api/admin,/testes-gerais/plans/:id/expand,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/plans/:id/generate-spec,,/api/admin,/testes-gerais/plans/:id/generate-spec,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/plans/extract-testids,,/api/admin,/testes-gerais/plans/extract-testids,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/logs/:id/reanalyze,,/api/admin,/testes-gerais/logs/:id/reanalyze,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/logs/:id/apply-fix,,/api/admin,/testes-gerais/logs/:id/apply-fix,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/logs/:id/reject,,/api/admin,/testes-gerais/logs/:id/reject,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/testes-gerais/schedules,,/api/admin,/testes-gerais/schedules,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/schedules,,/api/admin,/testes-gerais/schedules,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
PATCH,/api/admin/testes-gerais/schedules/:id,,/api/admin,/testes-gerais/schedules/:id,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
DELETE,/api/admin/testes-gerais/schedules/:id,,/api/admin,/testes-gerais/schedules/:id,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/testes-gerais/gemini-metrics,,/api/admin,/testes-gerais/gemini-metrics,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
POST,/api/admin/testes-gerais/pentest,,/api/admin,/testes-gerais/pentest,Configurador,Configurador,servicos-global/configurador/server/routes/admin.ts,adminRouter,,,,,,,,,,,
GET,/api/admin/ncm-integracao,,/api/admin/ncm-integracao,/,Configurador,Configurador,servicos-global/configurador/server/routes/adminNcmIntegracao.ts,adminNcmIntegracaoRouter,,,,,,,,,,,
GET,/api/admin/ncm-integracao/historico,,/api/admin/ncm-integracao,/historico,Configurador,Configurador,servicos-global/configurador/server/routes/adminNcmIntegracao.ts,adminNcmIntegracaoRouter,,,,,,,,,,,
POST,/api/admin/ncm-integracao/sync/:tenantId,,/api/admin/ncm-integracao,/sync/:tenantId,Configurador,Configurador,servicos-global/configurador/server/routes/adminNcmIntegracao.ts,adminNcmIntegracaoRouter,,,,,,,,,,,
GET,/api/admin/ncm-integracao/schedule,,/api/admin/ncm-integracao,/schedule,Configurador,Configurador,servicos-global/configurador/server/routes/adminNcmIntegracao.ts,adminNcmIntegracaoRouter,,,,,,,,,,,
PUT,/api/admin/ncm-integracao/schedule,,/api/admin/ncm-integracao,/schedule,Configurador,Configurador,servicos-global/configurador/server/routes/adminNcmIntegracao.ts,adminNcmIntegracaoRouter,,,,,,,,,,,
POST,/api/admin/ncm-integracao/schedule/execute,,/api/admin/ncm-integracao,/schedule/execute,Configurador,Configurador,servicos-global/configurador/server/routes/adminNcmIntegracao.ts,adminNcmIntegracaoRouter,,,,,,,,,,,
GET,/api/admin/produtos-gravity/available-slugs,,/api/admin/produtos-gravity,/available-slugs,Configurador,Configurador,servicos-global/configurador/server/routes/adminProducts.ts,adminProductsRouter,,,,,,,,,,,
GET,/api/admin/produtos-gravity,,/api/admin/produtos-gravity,/,Configurador,Configurador,servicos-global/configurador/server/routes/adminProducts.ts,adminProductsRouter,,,,,,,,,,,
GET,/api/admin/produtos-gravity/:id,,/api/admin/produtos-gravity,/:id,Configurador,Configurador,servicos-global/configurador/server/routes/adminProducts.ts,adminProductsRouter,,,,,,,,,,,
POST,/api/admin/produtos-gravity,,/api/admin/produtos-gravity,/,Configurador,Configurador,servicos-global/configurador/server/routes/adminProducts.ts,adminProductsRouter,,,,,,,,,,,
PUT,/api/admin/produtos-gravity/:id,,/api/admin/produtos-gravity,/:id,Configurador,Configurador,servicos-global/configurador/server/routes/adminProducts.ts,adminProductsRouter,,,,,,,,,,,
PATCH,/api/admin/produtos-gravity/:id/status,,/api/admin/produtos-gravity,/:id/status,Configurador,Configurador,servicos-global/configurador/server/routes/adminProducts.ts,adminProductsRouter,,,,,,,,,,,
DELETE,/api/admin/produtos-gravity/:id,,/api/admin/produtos-gravity,/:id,Configurador,Configurador,servicos-global/configurador/server/routes/adminProducts.ts,adminProductsRouter,,,,,,,,,,,
GET,/api/admin/seguranca-admin/overview,,/api/admin/seguranca-admin,/overview,Configurador,Configurador,servicos-global/configurador/server/routes/adminSecurity.ts,adminSecurityRouter,,EventsQuerySchema,,seguranca,,,,,,,
GET,/api/admin/seguranca-admin/events,,/api/admin/seguranca-admin,/events,Configurador,Configurador,servicos-global/configurador/server/routes/adminSecurity.ts,adminSecurityRouter,,EventsQuerySchema,,seguranca,,,,,,,
GET,/api/admin/seguranca-admin/stats,,/api/admin/seguranca-admin,/stats,Configurador,Configurador,servicos-global/configurador/server/routes/adminSecurity.ts,adminSecurityRouter,s2s,,,,,,,,,,
GET,/api/admin/seguranca-admin/ratelimit,,/api/admin/seguranca-admin,/ratelimit,Configurador,Configurador,servicos-global/configurador/server/routes/adminSecurity.ts,adminSecurityRouter,s2s,,,,,,,,,,
GET,/api/admin/seguranca-admin/health,,/api/admin/seguranca-admin,/health,Configurador,Configurador,servicos-global/configurador/server/routes/adminSecurity.ts,adminSecurityRouter,s2s,CreateEventSchema,,,,,,,,,
GET,/api/admin/seguranca-admin/secrets,,/api/admin/seguranca-admin,/secrets,Configurador,Configurador,servicos-global/configurador/server/routes/adminSecurity.ts,adminSecurityRouter,s2s,CreateEventSchema,,seguranca,,,,,,,
POST,/api/internal/security/events,,/api/internal/security,/events,Configurador,Configurador,servicos-global/configurador/server/routes/adminSecurity.ts,adminSecurityInternalRouter,s2s,CreateEventSchema,,seguranca,,,,,,,
GET,/api/v1/api-cockpit/services,,/api/v1/api-cockpit,/services,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitRouter,auth+admin,,,,,,,,,,
GET,/api/v1/api-cockpit/logs,,/api/v1/api-cockpit,/logs,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitRouter,auth+admin,,,,,,,,,,
GET,/api/v1/api-cockpit/stats,,/api/v1/api-cockpit,/stats,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitRouter,auth+admin,,,,,,,,,,
GET,/api/admin/api-cockpit/services,,/api/admin/api-cockpit,/services,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitAdminRouter,s2s,,,,,,,,,,
GET,/api/admin/api-cockpit/logs,,/api/admin/api-cockpit,/logs,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitAdminRouter,s2s,,,,,,,,,,
GET,/api/admin/api-cockpit/stats,,/api/admin/api-cockpit,/stats,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitAdminRouter,s2s,,,,,,,,,,
GET,/api/admin/api-cockpit/gabi-usage,,/api/admin/api-cockpit,/gabi-usage,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitAdminRouter,s2s,,,,,,,,,,
GET,/api/admin/api-cockpit/gabi-usage/history,,/api/admin/api-cockpit,/gabi-usage/history,Configurador,Configurador,servicos-global/configurador/server/routes/apiCockpit.ts,apiCockpitAdminRouter,s2s,,,,,,,,,,
POST,/api/v1/webhooks/clerk,,/api/v1/webhooks,/clerk,Configurador,Configurador,servicos-global/configurador/server/routes/auth.ts,authRouter,,,,usuario,,,,,,,
POST,/api/v1/financeiro/webhook,,/api/v1/financeiro,/webhook,Configurador,Configurador,servicos-global/configurador/server/routes/billing.ts,billingRouter,auth,,,organizacao,,,,,,,
GET,/api/v1/financeiro/invoices,,/api/v1/financeiro,/invoices,Configurador,Configurador,servicos-global/configurador/server/routes/billing.ts,billingRouter,auth,,,organizacao,,,,,,,
GET,/api/v1/companies/:companyId/products,,/api/v1/companies/:companyId/products,/,Configurador,Configurador,servicos-global/configurador/server/routes/companyProducts.ts,companyProductsRouter,auth,,,empresa,,,,,,,
POST,/api/v1/companies/:companyId/products,,/api/v1/companies/:companyId/products,/,Configurador,Configurador,servicos-global/configurador/server/routes/companyProducts.ts,companyProductsRouter,auth,,,empresa,,,,,,,
DELETE,/api/v1/companies/:companyId/products/:productKey,,/api/v1/companies/:companyId/products,/:productKey,Configurador,Configurador,servicos-global/configurador/server/routes/companyProducts.ts,companyProductsRouter,auth,,,produtoGravityWorkspace,,,,,,,
GET,/api/v1/historico-organizacao,,/api/v1/historico-organizacao,/,Configurador,Configurador,servicos-global/configurador/server/routes/historicoOrganizacao.ts,historicoOrganizacaoRouter,auth+s2s,,,,,,,,,,
GET,/api/v1/hub/catalog,,/api/v1/hub,/catalog,Configurador,Configurador,servicos-global/configurador/server/routes/hubInit.ts,hubRouter,auth,,,produtoGravity,,,,,,,
GET,/api/v1/hub/init,,/api/v1/hub,/init,Configurador,Configurador,servicos-global/configurador/server/routes/hubInit.ts,hubRouter,auth,,,configuracaoProduto,,,,,,,
GET,/api/v1/hub/insights,,/api/v1/hub,/insights,Configurador,Configurador,servicos-global/configurador/server/routes/hubInit.ts,hubRouter,auth,,,configuracaoProduto,,,,,,,
GET,/api/v1/me,,/api/v1/me,/,Configurador,Configurador,servicos-global/configurador/server/routes/me.ts,meRouter,,,,usuario,,,,,,,
GET,/api/v1/me/preferences,,/api/v1/me,/preferences,Configurador,Configurador,servicos-global/configurador/server/routes/me.ts,meRouter,,,,usuario,,,,,,,
PUT,/api/v1/me/preferences,,/api/v1/me,/preferences,Configurador,Configurador,servicos-global/configurador/server/routes/me.ts,meRouter,,,,usuario,,,,,,,
GET,/api/v1/products,,/api/v1/products,/,Configurador,Configurador,servicos-global/configurador/server/routes/products.ts,productsRouter,,,,produtoGravity,,,,,,,
GET,/api/v1/catalog/products,,/api/v1/catalog,/products,Configurador,Configurador,servicos-global/configurador/server/routes/publicCatalog.ts,publicCatalogRouter,,,,,,,,,,,
GET,/api/v1/catalog/products/:slug,,/api/v1/catalog,/products/:slug,Configurador,Configurador,servicos-global/configurador/server/routes/publicCatalog.ts,publicCatalogRouter,,,,,,,,,,,
POST,/api/internal/service-token,,/api/internal,/service-token,Configurador,Configurador,servicos-global/configurador/server/routes/serviceToken.ts,serviceTokenRouter,s2s,,,serviceToken,,,,,,,
POST,/api/internal/service-token/verify,,/api/internal,/service-token/verify,Configurador,Configurador,servicos-global/configurador/server/routes/serviceToken.ts,serviceTokenRouter,s2s,,,serviceToken,,,,,,,
GET,/api/v1/taxa-cambio,,/api/v1/taxa-cambio,/,Configurador,Configurador,servicos-global/configurador/server/routes/taxaCambio.ts,taxaCambioRouter,,,,cambio,,,,,,,
GET,/api/v1/taxa-cambio/historico,,/api/v1/taxa-cambio,/historico,Configurador,Configurador,servicos-global/configurador/server/routes/taxaCambio.ts,taxaCambioRouter,auth,,,cambio,,,,,,,
POST,/api/v1/taxa-cambio/sync,,/api/v1/taxa-cambio,/sync,Configurador,Configurador,servicos-global/configurador/server/routes/taxaCambio.ts,taxaCambioRouter,auth,,,,,,,,,,
GET,${BID_CAMBIO_URL}/api/v1/master-data/ptax,,,${BID_CAMBIO_URL}/api/v1/master-data/ptax,Configurador,Configurador,servicos-global/configurador/server/routes/taxaCambio.ts,axios,,,,,,,,,,,
GET,/api/admin/tenants,,/api/admin/tenants,/,Configurador,Configurador,servicos-global/configurador/server/routes/tenantProducts.ts,tenantProductsRouter,auth,,,configuracaoProduto,,,,,,,
POST,/api/admin/tenants/subscribe,,/api/admin/tenants,/subscribe,Configurador,Configurador,servicos-global/configurador/server/routes/tenantProducts.ts,tenantProductsRouter,auth+admin,,,produtoGravity,,,,,,,
DELETE,/api/admin/tenants/:key,,/api/admin/tenants,/:key,Configurador,Configurador,servicos-global/configurador/server/routes/tenantProducts.ts,tenantProductsRouter,auth+admin,,,configuracaoProduto,,,,,,,
GET,/api/admin/tenants/:tenantId/products,,/api/admin/tenants,/:tenantId/products,Configurador,Configurador,servicos-global/configurador/server/routes/tenantProducts.ts,tenantProductsRouter,auth,,,organizacao,,,,,,,
POST,/api/admin/tenants/:tenantId/products/:productKey/activate,,/api/admin/tenants,/:tenantId/products/:productKey/activate,Configurador,Configurador,servicos-global/configurador/server/routes/tenantProducts.ts,tenantProductsRouter,auth,,,organizacao,,,,,,,
POST,/api/admin/tenants/:tenantId/products/:productKey/deactivate,,/api/admin/tenants,/:tenantId/products/:productKey/deactivate,Configurador,Configurador,servicos-global/configurador/server/routes/tenantProducts.ts,tenantProductsRouter,auth,,,organizacao,,,,,,,
POST,/api/v1/organizacao,,/api/v1/organizacao,/,Configurador,Configurador,servicos-global/configurador/server/routes/tenants.ts,tenantsRouter,auth,,,,,,,,,,
GET,/api/v1/organizacao/me,,/api/v1/organizacao,/me,Configurador,Configurador,servicos-global/configurador/server/routes/tenants.ts,tenantsRouter,auth,,,,,,,,,,
PATCH,/api/v1/organizacao/me,,/api/v1/organizacao,/me,Configurador,Configurador,servicos-global/configurador/server/routes/tenants.ts,tenantsRouter,auth,,,,,,,,,,
GET,/api/v1/organizacao/companies,,/api/v1/organizacao,/companies,Configurador,Configurador,servicos-global/configurador/server/routes/tenants.ts,tenantsRouter,auth,,,,,,,,,,
POST,/api/v1/organizacao/companies,,/api/v1/organizacao,/companies,Configurador,Configurador,servicos-global/configurador/server/routes/tenants.ts,tenantsRouter,auth,,,,,,,,,,
PATCH,/api/v1/organizacao/companies/:id,,/api/v1/organizacao,/companies/:id,Configurador,Configurador,servicos-global/configurador/server/routes/tenants.ts,tenantsRouter,auth,,,,,,,,,,
DELETE,/api/v1/organizacao/companies/:id,,/api/v1/organizacao,/companies/:id,Configurador,Configurador,servicos-global/configurador/server/routes/tenants.ts,tenantsRouter,auth,,,,,,,,,,
GET,/api/v1/usuarios,,/api/v1/usuarios,/,Configurador,Configurador,servicos-global/configurador/server/routes/users.ts,usersRouter,,,,usuario,,,,,,,
POST,/api/v1/usuarios/invite,,/api/v1/usuarios,/invite,Configurador,Configurador,servicos-global/configurador/server/routes/users.ts,usersRouter,,,,usuario,,,,,,,
POST,/api/v1/usuarios/:id/memberships,,/api/v1/usuarios,/:id/memberships,Configurador,Configurador,servicos-global/configurador/server/routes/users.ts,usersRouter,,,,usuario,,,,,,,
PUT,/api/v1/usuarios/:id/workspaces,,/api/v1/usuarios,/:id/workspaces,Configurador,Configurador,servicos-global/configurador/server/routes/users.ts,usersRouter,,,,usuario,,,,,,,
PATCH,/api/v1/usuarios/:id/role,,/api/v1/usuarios,/:id/role,Configurador,Configurador,servicos-global/configurador/server/routes/users.ts,usersRouter,,,,usuario,,,,,,,
POST,/api/v1/agenda,,/api/v1/agenda,/,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/agenda.ts,agendaRouter,tenant,agendaSchema,,agenda,,,,,,,
GET,/api/v1/agenda,,/api/v1/agenda,/,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/agenda.ts,agendaRouter,tenant,,,agenda,,,,,,,
GET,/api/v1/agenda/:id,,/api/v1/agenda,/:id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/agenda.ts,agendaRouter,tenant,,,agenda,,,,,,,
PUT,/api/v1/agenda/:id,,/api/v1/agenda,/:id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/agenda.ts,agendaRouter,tenant,,,agenda,,,,,,,
DELETE,/api/v1/agenda/:id,,/api/v1/agenda,/:id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/agenda.ts,agendaRouter,tenant,,,agenda,,,,,,,
POST,/api/v1/config,,/api/v1/config,/,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/config.ts,configRouter,tenant,configSchema,,disponibilidadeConfig,,,,,,,
GET,/api/v1/config/agenda/:agenda_id,,/api/v1/config,/agenda/:agenda_id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/config.ts,configRouter,tenant,,,disponibilidadeConfig,,,,,,,
PUT,/api/v1/config/:id,,/api/v1/config,/:id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/config.ts,configRouter,tenant,,,disponibilidadeConfig,,,,,,,
DELETE,/api/v1/config/:id,,/api/v1/config,/:id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/config.ts,configRouter,tenant,,,disponibilidadeConfig,,,,,,,
POST,/api/v1/reserva,,/api/v1/reserva,/,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/reserva.ts,reservaRouter,tenant,reservaSchema,,slot,,,,,,,
GET,/api/v1/reserva,,/api/v1/reserva,/,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/reserva.ts,reservaRouter,tenant,,,reserva,,,,,,,
GET,/api/v1/reserva/usuario/:usuario_id,,/api/v1/reserva,/usuario/:usuario_id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/reserva.ts,reservaRouter,tenant,,,reserva,,,,,,,
PATCH,/api/v1/reserva/:id/status,,/api/v1/reserva,/:id/status,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/reserva.ts,reservaRouter,tenant,,,reserva,,,,,,,
DELETE,/api/v1/reserva/:id,,/api/v1/reserva,/:id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/reserva.ts,reservaRouter,tenant,,,reserva,,,,,,,
POST,/api/v1/slot,,/api/v1/slot,/,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/slot.ts,slotRouter,tenant,slotSchema,,slot,,,,,,,
POST,/api/v1/slot/gerar,,/api/v1/slot,/gerar,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/slot.ts,slotRouter,tenant,generateSlotsSchema,,slot,,,,,,,
GET,/api/v1/slot/agenda/:agenda_id,,/api/v1/slot,/agenda/:agenda_id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/slot.ts,slotRouter,tenant,,,slot,,,,,,,
DELETE,/api/v1/slot/:id,,/api/v1/slot,/:id,Tenant,agendamento,servicos-global/tenant/agendamento/server/routes/slot.ts,slotRouter,tenant,,,slot,,,,,,,
GET,/raw,,,/raw,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/docs.ts,docsRouter,,,,,,,,,,,
GET,/api/v1/erp/connection,,/api/v1/erp,/connection,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/erp.ts,erpRouter,,saveCredentialsSchema,,erpConnection,,,,,,,
POST,/api/v1/erp/connection,,/api/v1/erp,/connection,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/erp.ts,erpRouter,,saveCredentialsSchema,,erpConnection,,,,,,,
POST,/api/v1/erp/connection/test,,/api/v1/erp,/connection/test,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/erp.ts,erpRouter,,odataQuerySchema,,erpConnection,,,,,,,
POST,/api/v1/erp/query,,/api/v1/erp,/query,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/erp.ts,erpRouter,,odataQuerySchema,,erpConnection,,,,,,,
POST,/ingest,,,/ingest,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/observability.ts,router,s2s,,,,,,,,,,
GET,/services,,,/services,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/observability.ts,router,,LogsQuerySchema,,,,,,,,,
GET,/logs,,,/logs,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/observability.ts,router,,LogsQuerySchema,,,,,,,,,
GET,/stats,,,/stats,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/observability.ts,router,,,,,,,,,,,
GET,/api/v1/cockpit/tokens,,/api/v1/cockpit/tokens,/,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/tokens.ts,tokensRouter,,createTokenSchema,,tokenAPI,,,,,,,
POST,/api/v1/cockpit/tokens,,/api/v1/cockpit/tokens,/,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/tokens.ts,tokensRouter,,createTokenSchema,,tokenAPI,,,,,,,
DELETE,/api/v1/cockpit/tokens/:id,,/api/v1/cockpit/tokens,/:id,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/tokens.ts,tokensRouter,,,,tokenAPI,,,,,,,
GET,/api/v1/cockpit/webhooks,,/api/v1/cockpit/webhooks,/,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/webhooks.ts,webhooksRouter,,createWebhookSchema,,webhookConfig,,,,,,,
POST,/api/v1/cockpit/webhooks,,/api/v1/cockpit/webhooks,/,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/webhooks.ts,webhooksRouter,,createWebhookSchema,,webhookConfig,,,,,,,
PUT,/api/v1/cockpit/webhooks/:id,,/api/v1/cockpit/webhooks,/:id,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/webhooks.ts,webhooksRouter,,updateWebhookSchema,,webhookConfig,,,,,,,
POST,/api/v1/cockpit/webhooks/:id/test,,/api/v1/cockpit/webhooks,/:id/test,Tenant,api-cockpit,servicos-global/tenant/api-cockpit/server/src/routes/webhooks.ts,webhooksRouter,,,,webhookConfig,,,,,,,
